* Exported with UsyTrace, available at https://usyless.uk/trace
* Freq(Hz)	SPL(dB)
1270.791322	102.816501
1280.000000	102.861840
1289.275408	102.907180
1298.618029	102.952509
1308.028350	102.997835
1317.506863	103.046203
1327.054061	103.114203
1336.670442	103.182196
1346.356507	103.250212
1356.112761	103.318193
1365.939713	103.386209
1375.837875	103.454194
1385.807763	103.518673
1395.849898	103.568623
1405.964802	103.636635
1416.153002	103.683450
1426.415031	103.751048
1436.751422	103.817247
1447.162715	103.865485
1457.649452	103.933484
1468.212181	104.001477
1478.851452	104.069493
1489.567819	104.137474
1500.361842	104.209091
1511.234082	104.295055
1522.185107	104.363048
1533.215488	104.431046
1544.325799	104.499056
1555.516621	104.567041
1566.788535	104.634474
1578.142131	104.686534
1589.577999	104.771049
1601.096737	104.839046
1612.698944	104.921967
1624.385225	104.996608
1636.156190	105.064632
1648.012452	105.154195
1659.954630	105.222179
1671.983345	105.311751
1684.099226	105.392833
1696.302903	105.469317
1708.595013	105.558885
1720.976197	105.626906
1733.447100	105.694885
1746.008372	105.762893
1758.660669	105.830889
1771.404649	105.879671
1784.240977	105.963141
1797.170323	106.056005
1810.193360	106.124451
1823.310767	106.214022
1836.523229	106.291428
1849.831433	106.384286
1863.236074	106.477147
1876.737851	106.572319
1890.337467	106.661892
1904.035631	106.729869
1917.833058	106.819441
1931.730467	106.898295
1945.728583	106.977010
1959.828134	107.066578
1974.029857	107.156147
1988.334491	107.267306
2002.742782	107.335288
2017.255482	107.446435
2031.873347	107.548302
2046.597138	107.625568
2061.427625	107.715136
2076.365579	107.804705
2091.411780	107.894276
2106.567012	107.983848
2121.832065	108.051851
2137.207735	108.119854
2152.694823	108.209429
2168.294137	108.297754
2184.006490	108.366983
2199.832702	108.456554
2215.773596	108.546126
2231.830005	108.657267
2248.002765	108.762038
2264.292720	108.854900
2280.700718	108.947764
2297.227616	109.040616
2313.874274	109.126693
2330.641561	109.216258
2347.530351	109.305824
2364.541523	109.412046
2381.675966	109.504910
2398.934572	109.597768
2416.318240	109.690621
2433.827878	109.783476
2451.464399	109.886387
2469.228720	109.997522
2487.121769	110.087090
2505.144479	110.198061
2523.297789	110.290914
2541.582644	110.426908
2560.000000	110.519764
2578.550815	110.655764
2597.236057	110.753944
2616.056701	110.884628
2635.013726	110.977488
2654.108121	111.113481
2673.340883	111.206336
2692.713013	111.309637
2712.225522	111.399211
2731.879426	111.488786
2751.675750	111.578363
2771.615527	111.646339
2791.699796	111.720346
2811.929603	111.803916
2832.306004	111.871916
2852.830061	111.934618
2873.502844	111.986336
2894.325430	112.054358
2915.298905	112.113749
2936.424363	112.159081
2957.702904	112.204413
2979.135638	112.249747
3000.723683	112.288588
3022.468164	112.320539
3044.370214	112.347740
3066.430976	112.369330
3088.651599	112.388773
3111.033242	112.403051
3133.577071	112.412027
3156.284262	112.421068
3179.155999	112.430174
3202.193474	112.439347
3225.397888	112.434685
3248.770450	112.425040
3272.312380	112.415325
3296.024905	112.405540
3319.909260	112.392886
3343.966691	112.373502
3368.198452	112.352884
3392.605806	112.318898
3417.190027	112.275737
3441.952394	112.230399
3466.894200	112.185059
3492.016745	112.118146
3517.321337	112.050129
3542.809298	111.982145
3568.481954	111.914140
3594.340646	111.846139
3620.386720	111.761606
3646.621534	111.688579
3673.046457	111.620558
3699.662866	111.552579
3726.472148	111.476458
3753.475701	111.395006
3780.674934	111.305439
3808.071263	111.215871
3835.666117	111.105014
3863.460935	111.015143
3891.457165	110.925580
3919.656268	110.857588
3948.059713	110.768014
3976.668981	110.656881
4005.485564	110.588863
4034.510963	110.498149
4063.746693	110.409728
4093.194277	110.322738
4122.855250	110.273739
4152.731158	110.217713
4182.823560	110.172379
4213.134024	110.134134
4243.664130	110.100125
4274.415470	110.067078
4305.389646	110.044471
4336.588274	110.023835
4368.012981	110.012602
4399.665403	110.001287
4431.547192	109.989890
4463.660010	109.987814
4496.005531	110.001344
4528.585440	110.014973
4561.401437	110.031419
4594.455232	110.058601
4627.748549	110.090002
4661.283122	110.124012
4695.060701	110.157490
4729.083046	110.184648
4763.351932	110.215218
4797.869143	110.249236
4832.636481	110.283258
4867.655757	110.328109
4902.928797	110.373435
4938.457440	110.417605
4974.243539	110.451596
5010.288958	110.479891
5046.595577	110.505999
5083.165289	110.528632
5120.000000	110.552882
5157.101631	110.580092
5194.472115	110.598077
5232.113401	110.613169
5270.027452	110.628371
5308.216243	110.614596
5346.681766	110.597579
5385.426026	110.561908
5424.451043	110.493897
5463.758851	110.404332
5503.351500	110.301632
5543.231054	110.165630
5583.399591	110.029627
5623.859206	109.893627
5664.612008	109.757633
5705.660122	109.578497
5747.005687	109.399358
5788.650860	109.234222
5830.597810	109.084215
5872.848725	108.905069
5915.405808	108.682794
5958.271277	108.503659
6001.447367	108.324521
6044.936328	108.145382
6088.740429	107.923099
6132.861952	107.700814
6177.303198	107.478532
6222.066483	107.290771
6267.154142	107.077121
6312.568524	106.897983
6358.311998	106.675701
6404.386948	106.539699
6450.795775	106.362177
6497.540901	106.181417
6544.624761	106.045423
6592.049809	105.909427
6639.818520	105.785779
6687.933382	105.696212
6736.396904	105.606644
6785.211613	105.517074
6834.380053	105.449058
6883.904789	105.381073
6933.788400	105.291500
6984.033489	105.223503
7034.642675	105.155491
7085.618596	105.108655
7136.963909	105.064252
7188.681291	105.049239
7240.773439	105.034117
7293.243069	105.024533
7346.092914	105.041460
7399.325732	105.058510
7452.944296	105.108098
7506.951403	105.176074
7561.349867	105.265646
7616.142525	105.386909
7671.332234	105.522908
7726.921869	105.658910
7782.914330	105.834867
7839.312536	105.974053
7896.119426	106.153188
7953.337962	106.289184
8010.971128	106.425182
8069.021927	106.561182
8127.493386	106.697185
8186.388553	106.790050
8245.710500	106.882902
8305.462317	106.969320
8365.647121	107.018506
8426.268048	107.045738
8487.328260	107.025466
8548.830939	106.986477
8610.779292	106.918456
8673.176549	106.824297
8736.025961	106.688302
8799.330806	106.509163
8863.094385	106.330022
8927.320020	106.150879
8992.011061	105.929662
9057.170880	105.700813
9122.802874	105.428825
9188.910464	105.156831
9255.497097	104.859606
9322.566244	104.537883
9390.121402	104.254542
9458.166093	103.939399
9526.703863	103.667412
9595.738287	103.395422
9665.272962	103.166567
9735.311514	102.965834
9805.857594	102.786691
9876.914881	102.671355
9948.487077	102.581785
10020.577916	102.515657
10093.191154	102.473737
10166.330578	102.454376
10240.000000	102.434875
10314.203261	102.450747
10388.944230	102.470218
10464.226802	102.527032
10540.054903	102.619886
10616.432486	102.755884
10693.363532	102.891883
10770.852052	103.071026
10848.902086	103.247537
10927.517703	103.386168
11006.703001	103.522162
11086.462108	103.658158
